Township,Area,State,Tenure,Type,Median_Price,Median_PSF,Transactions
TAMAN SERAI RESIDENSI,PADANG SERAI,KEDAH,FREEHOLD,TERRACE HOUSE,199800.0,143.0,104
TANJUNG PUTERI RESORT,PASIR GUDANG,JOHOR,FREEHOLD,BUNGALOW,397800.0,258.0,70
TANJUNG PUTERI RESORT,PASIR GUDANG,JOHOR,FREEHOLD,TERRACE HOUSE,397800.0,258.0,104
BANDAR BARU SETIA AWAN PERDANA,SITIAWAN,PERAK,FREEHOLD,CLUSTER HOUSE,245000.0,139.0,128
BANDAR BARU SETIA AWAN PERDANA,SITIAWAN,PERAK,FREEHOLD,TERRACE HOUSE,245000.0,139.0,104
TAMAN SRI IMPIAN / BANDAR SRI IMPIAN,KLUANG,JOHOR,FREEHOLD,TERRACE HOUSE,419444.0,200.0,104
BANDAR SERI COALFIELDS,IJOK,SELANGOR,FREEHOLD,CLUSTER HOUSE,913800.0,432.0,123
BANDAR SERI COALFIELDS,IJOK,SELANGOR,FREEHOLD,TERRACE HOUSE,913800.0,432.0,104
TAMAN TASIK UTAMA,BUKIT KATIL,MELAKA,LEASEHOLD,TERRACE HOUSE,270000.0,175.0,104
PULAU INDAH,KLANG,SELANGOR,FREEHOLD,TERRACE HOUSE,350000.0,252.0,104
TAMAN UNGKU TUN AMINAH,SKUDAI,JOHOR,FREEHOLD,TERRACE HOUSE,530000.0,322.0,104
ELMINA WEST,SHAH ALAM,SELANGOR,FREEHOLD,TERRACE HOUSE,1060888.0,550.0,104
TAMAN SETIA INDAH,TEBRAU,JOHOR,FREEHOLD,TERRACE HOUSE,610000.0,382.0,104
SEKSYEN 29 SHAH ALAM,SHAH ALAM,SELANGOR,LEASEHOLD,TERRACE HOUSE,472800.0,309.0,104
TAMAN BANANG JAYA,BATU PAHAT,JOHOR,FREEHOLD,TERRACE HOUSE,618500.0,388.0,104
TAMAN SAUJANA,KLUANG,JOHOR,FREEHOLD,TERRACE HOUSE,150000.0,107.0,104
