Township,Area,State,Tenure,Type,Median_Price,Median_PSF,Transactions
ECO MAJESTIC,BERANANG,SELANGOR,FREEHOLD,CLUSTER HOUSE,854000.0,431.0,58
ECO MAJESTIC,BERANANG,SELANGOR,FREEHOLD,TERRACE HOUSE,854000.0,431.0,58
TAMAN TASIK INDAH,KLUANG,JOHOR,FREEHOLD,TERRACE HOUSE,614000.0,258.0,58
TAMAN KRUBONG HEIGHTS,KRUBONG,MELAKA,FREEHOLD,TERRACE HOUSE,405800.0,290.0,57
TAMAN KAMUNTING PELANGI,TAIPING,PERAK,FREEHOLD,TERRACE HOUSE,299000.0,203.0,57
TAMAN PUNCAK CERIA (IDAMAN HILLS),KLUANG,JOHOR,FREEHOLD,TERRACE HOUSE,538000.0,253.0,57
TAMAN NUSA BAYU,ISKANDAR PUTERI (NUSAJAYA),JOHOR,FREEHOLD,TERRACE HOUSE,600000.0,464.0,57
BANDAR LAGUNA MERBOK (TERES),SUNGAI PETANI,KEDAH,FREEHOLD,TERRACE HOUSE,400000.0,264.0,57
PALM SPRING @ DAMANSARA,KOTA DAMANSARA,SELANGOR,LEASEHOLD,CONDOMINIUM,530000.0,525.0,32
TAMAN PERAKKU SERDANG,SITIAWAN,PERAK,LEASEHOLD,TERRACE HOUSE,116000.0,50.0,56
BANDAR SERI ALAM,MASAI,JOHOR,FREEHOLD,TERRACE HOUSE,496500.0,305.0,56
BANDAR JASIN BISTARI,BEMBAN,MELAKA,LEASEHOLD,TERRACE HOUSE,230435.0,150.0,56
BERTAM PERDANA,KEPALA BATAS,PENANG,FREEHOLD,CLUSTER HOUSE,310000.0,260.0,55
BERTAM PERDANA,KEPALA BATAS,PENANG,FREEHOLD,TERRACE HOUSE,310000.0,260.0,55
BANDAR PUTERI JAYA SEKSYEN 1,SUNGAI PETANI,KEDAH,FREEHOLD,TERRACE HOUSE,228000.0,200.0,55
TAMAN MOUNT AUSTIN,TEBRAU,JOHOR,FREEHOLD,SEMI D,700000.0,441.0,55
TAMAN MOUNT AUSTIN,TEBRAU,JOHOR,FREEHOLD,TERRACE HOUSE,700000.0,441.0,55
RESIDENSI MERBOK,NIBONG TEBAL,PENANG,FREEHOLD,BUNGALOW,960000.0,274.0,55
RESIDENSI MERBOK,NIBONG TEBAL,PENANG,FREEHOLD,SEMI D,960000.0,274.0,55
TAMAN DESA IMPIAN 2 (FASA 2),BUKIT MERTAJAM,PENANG,FREEHOLD,SEMI D,900000.0,311.0,54
LAKE GARDEN RESIDENCE(TAMAN KLEBANG TEKOMA,IPOH,PERAK,LEASEHOLD,SEMI D,499800.0,357.0,54
LAKE GARDEN RESIDENCE(TAMAN KLEBANG TEKOMA,IPOH,PERAK,LEASEHOLD,TERRACE HOUSE,499800.0,357.0,54
BANDAR BOTANIC,KLANG,SELANGOR,FREEHOLD,TERRACE HOUSE,767500.0,468.0,54
TAMAN SRI SAUJANA,KOTA TINGGI,JOHOR,FREEHOLD,TERRACE HOUSE,380000.0,271.0,54
BANDAR AMANJAYA (KEMBOJA),SUNGAI PETANI,KEDAH,FREEHOLD,TERRACE HOUSE,230000.0,165.0,54
SEKSYEN 2 WANGSA MAJU FLAT,WANGSA MAJU,KUALA LUMPUR,LEASEHOLD,FLAT,224500.0,380.0,48
MELINSUNG SUMMER BAY RESORT,PAPAR,SABAH,LEASEHOLD,APARTMENT,115000.0,218.0,37
TAMAN POLITEKNIK,TELOK KEMANG,NEGERI SEMBILAN,FREEHOLD,TERRACE HOUSE,230000.0,177.0,53
"TAMAN ALAMANDA, BANDAR BARU SEGARI",LUMUT,PERAK,LEASEHOLD,TERRACE HOUSE,155500.0,120.0,53
TAMAN PUNCAK KASIH MERLIMAU PASIR,MERLIMAU,MELAKA,FREEHOLD,TERRACE HOUSE,179800.0,127.0,53
TAMAN NUSANTARA,ISKANDAR PUTERI (NUSAJAYA),JOHOR,FREEHOLD,TERRACE HOUSE,420000.0,372.0,53
TAMAN NUSA BESTARI 2,ISKANDAR PUTERI (NUSAJAYA),JOHOR,FREEHOLD,TERRACE HOUSE,540000.0,363.0,53
SETIA ECO PARK,SETIA ALAM,SELANGOR,FREEHOLD,BUNGALOW,2450000.0,534.0,53
SETIA ECO PARK,SETIA ALAM,SELANGOR,FREEHOLD,SEMI D,1838000.0,534.0,53
BANDAR TASIK SENANGIN,LENGGENG,NEGERI SEMBILAN,FREEHOLD,BUNGALOW,435000.0,105.0,53
TAMAN SENTOSA,JOHOR BAHRU,JOHOR,FREEHOLD,SEMI D,700000.0,321.0,53
TAMAN SENTOSA,JOHOR BAHRU,JOHOR,FREEHOLD,TERRACE HOUSE,700000.0,321.0,53
TAMAN LANGAT UTAMA 3,TANJONG DUABELAS,SELANGOR,LEASEHOLD,TERRACE HOUSE,410000.0,282.0,53
AMBER 2 @ BUKIT SENTOSA,SERENDAH,SELANGOR,FREEHOLD,TERRACE HOUSE,452000.0,385.0,52
TAMAN BUKIT SENAWANG PERDANA,RANTAU,NEGERI SEMBILAN,FREEHOLD,TERRACE HOUSE,80000.0,67.0,52
KOTA EMERALD,RAWANG,SELANGOR,FREEHOLD,SEMI D,795000.0,383.0,52
KOTA EMERALD,RAWANG,SELANGOR,FREEHOLD,TERRACE HOUSE,795000.0,383.0,52
TAMAN MELAWATI,ULU KLANG,SELANGOR,FREEHOLD,SEMI D,686000.0,483.0,51
TAMAN MELAWATI,ULU KLANG,SELANGOR,FREEHOLD,TERRACE HOUSE,686000.0,483.0,51
BUKIT BANYAN,SUNGAI PETANI,KEDAH,FREEHOLD,SEMI D,499900.0,267.0,51
BUKIT BANYAN,SUNGAI PETANI,KEDAH,FREEHOLD,TERRACE HOUSE,499900.0,267.0,51
BUKIT BANYAN,SUNGAI PETANI,KEDAH,FREEHOLD,TOWN HOUSE,499900.0,267.0,51
BANDAR RINCHING,SEMENYIH,SELANGOR,FREEHOLD,TERRACE HOUSE,400000.0,292.0,51
DAMANSARA HEIGHTS (BUKIT DAMANSARA),DAMANSARA HEIGHTS,KUALA LUMPUR,FREEHOLD,BUNGALOW,3600000.0,700.0,51
DAMANSARA HEIGHTS (BUKIT DAMANSARA),DAMANSARA HEIGHTS,KUALA LUMPUR,FREEHOLD,SEMI D,1838000.0,700.0,51
TAMAN NILAM SARI,SEREMBAN,NEGERI SEMBILAN,LEASEHOLD,TERRACE HOUSE,411800.0,317.0,50
TAMAN AIR MANIS,SABAK BERNAM,SELANGOR,LEASEHOLD,CLUSTER HOUSE,250000.0,179.0,50
TAMAN AIR MANIS,SABAK BERNAM,SELANGOR,LEASEHOLD,TERRACE HOUSE,250000.0,179.0,50
TAMAN BERTAM HEIGHTS,TANJONG MINYAK,MELAKA,FREEHOLD,TERRACE HOUSE,180000.0,138.0,50
TAMAN PASIR PUTIH,PASIR GUDANG,JOHOR,FREEHOLD,TERRACE HOUSE,375000.0,273.0,50
BANDAR PUTERA 2,KLANG,SELANGOR,LEASEHOLD,TERRACE HOUSE,411640.0,344.0,50
TAMAN KERIAN SENTOSA,PARIT BUNTAR,PERAK,LEASEHOLD,TERRACE HOUSE,368800.0,267.0,50
MEDINI SIGNATURE,ISKANDAR PUTERI (NUSAJAYA),JOHOR,FREEHOLD,CONDOMINIUM,814800.0,505.0,32
ANGKASA CONDOMINIUMS,CHERAS,KUALA LUMPUR,FREEHOLD,CONDOMINIUM,600000.0,648.0,32
BANDAR SEBERANG JAYA,SEBERANG JAYA,PENANG,LEASEHOLD,TERRACE HOUSE,280000.0,294.0,49
AMBER 1@BUKIT SENTOSA,SERENDAH,SELANGOR,FREEHOLD,TERRACE HOUSE,430000.0,332.0,49
TAMAN SRI SKUDAI,SKUDAI,JOHOR,FREEHOLD,TERRACE HOUSE,400000.0,283.0,49
TAMAN AIR BIRU,PASIR GUDANG,JOHOR,LEASEHOLD,SEMI D,270000.0,245.0,49
TAMAN AIR BIRU,PASIR GUDANG,JOHOR,LEASEHOLD,TERRACE HOUSE,270000.0,245.0,49
TAMAN SRI PULAI PERDANA,KULAI,JOHOR,FREEHOLD,TERRACE HOUSE,499000.0,382.0,49
TAMAN LESTARI PUCHONG,SERI KEMBANGAN,SELANGOR,LEASEHOLD,TERRACE HOUSE,508000.0,338.0,49
NUSA SENTRAL,ISKANDAR PUTERI (NUSAJAYA),JOHOR,FREEHOLD,SEMI D,770000.0,485.0,49
NUSA SENTRAL,ISKANDAR PUTERI (NUSAJAYA),JOHOR,FREEHOLD,TERRACE HOUSE,770000.0,485.0,49
IRAMA SENDAYAN 2A,LABU,NEGERI SEMBILAN,FREEHOLD,TERRACE HOUSE,559444.0,379.0,48
TAMAN BAKTI [YNS],LABU,NEGERI SEMBILAN,FREEHOLD,TERRACE HOUSE,80000.0,67.0,48
BANDAR PUTERI PUCHONG,PUCHONG,SELANGOR,FREEHOLD,TERRACE HOUSE,1225000.0,620.0,48
BANDAR KINRARA,BANDAR KINRARA,SELANGOR,FREEHOLD,TERRACE HOUSE,1415000.0,621.0,48
TAMAN RIA JAYA FASA 2,SUNGAI PETANI,KEDAH,FREEHOLD,TERRACE HOUSE,197500.0,146.0,48
TAMAN CAHAYA MASAI,PASIR GUDANG,JOHOR,LEASEHOLD,TERRACE HOUSE,300000.0,381.0,48
NUSA PERDANA APARTMENT,ISKANDAR PUTERI (NUSAJAYA),JOHOR,FREEHOLD,SERVICE RESIDENCE,360000.0,386.0,48
TAMAN MELOR JAYA,GERISEK,JOHOR,FREEHOLD,TERRACE HOUSE,165000.0,100.0,47
TANJUNG TEMASEK,IPOH,PERAK,LEASEHOLD,TERRACE HOUSE,303800.0,226.0,47
ALAM PERDANA,IJOK,SELANGOR,LEASEHOLD,TERRACE HOUSE,310000.0,189.0,47
TAMAN KRUBONG JAYA,KRUBONG,MELAKA,LEASEHOLD,TERRACE HOUSE,290000.0,223.0,47
TAMAN ADDA,TEBRAU,JOHOR,FREEHOLD,CLUSTER HOUSE,1000000.0,387.0,47
TAMAN ADDA,TEBRAU,JOHOR,FREEHOLD,TERRACE HOUSE,1000000.0,387.0,47
TAMAN BANDAR UTAMA TAMPIN,TAMPIN,NEGERI SEMBILAN,FREEHOLD,SEMI D,299473.0,145.0,47
TAMAN BANDAR UTAMA TAMPIN,TAMPIN,NEGERI SEMBILAN,FREEHOLD,TERRACE HOUSE,299473.0,145.0,47
TAMAN TERUBONG INDAH (MAJESTIC HEIGHTS),AYER ITAM,PENANG,FREEHOLD,FLAT,170000.0,243.0,47
TAMAN CASSIA BAHAU,BAHAU,NEGERI SEMBILAN,LEASEHOLD,TERRACE HOUSE,249000.0,192.0,46
TAMAN MAHSURI,PADANG SERAI,KEDAH,FREEHOLD,TERRACE HOUSE,270000.0,208.0,46
TAMAN BUKIT PERDANA,BATU PAHAT,JOHOR,FREEHOLD,TERRACE HOUSE,390000.0,253.0,46
TAMAN PUCHONG UTAMA,PUCHONG,SELANGOR,FREEHOLD,TERRACE HOUSE,600000.0,454.0,46
USJ 3,SUBANG JAYA,SELANGOR,FREEHOLD,TERRACE HOUSE,765000.0,482.0,46
TAMAN EVERGREEN HEIGHTS,BATU PAHAT,JOHOR,FREEHOLD,TERRACE HOUSE,420000.0,244.0,46
TAMAN LAGENDA,PADANG SERAI,KEDAH,FREEHOLD,TERRACE HOUSE,292500.0,214.0,46
MOLEK REGENCY,JOHOR BAHRU,JOHOR,FREEHOLD,SERVICE RESIDENCE,580000.0,536.0,46
PLATINUM SUITES (THE FACE SUITES),KLCC,KUALA LUMPUR,FREEHOLD,SERVICE RESIDENCE,1341465.0,1815.0,46
TAMAN SAUJANA MANJUNG,SITIAWAN,PERAK,LEASEHOLD,SEMI D,329890.0,279.0,45
TAMAN SAUJANA MANJUNG,SITIAWAN,PERAK,LEASEHOLD,TERRACE HOUSE,329890.0,279.0,45
MERU SENTOSA,IPOH,PERAK,LEASEHOLD,TERRACE HOUSE,340194.0,235.0,45
TAMAN TERATAI,KULAI,JOHOR,FREEHOLD,TERRACE HOUSE,330000.0,273.0,45
TAMAN SEMENTA PERMAI,KAPAR,SELANGOR,FREEHOLD,TERRACE HOUSE,358000.0,254.0,45
TAMAN KOTA JAYA,KOTA TINGGI,JOHOR,FREEHOLD,SEMI D,310000.0,198.0,45
TAMAN KOTA JAYA,KOTA TINGGI,JOHOR,FREEHOLD,TERRACE HOUSE,310000.0,198.0,45
TAMAN SENAI JAYA,SENAI,JOHOR,FREEHOLD,TERRACE HOUSE,170000.0,110.0,45
PR1MA @ PORT DICKSON,LUKUT,NEGERI SEMBILAN,FREEHOLD,TERRACE HOUSE,287850.0,210.0,45
TAMAN SCIENTEX SENAI,SENAI,JOHOR,FREEHOLD,TERRACE HOUSE,480000.0,446.0,45
GREEN GARDEN,AYER ITAM,PENANG,FREEHOLD,FLAT,180000.0,335.0,45
SCIENTEX SEREMBAN,SEREMBAN,NEGERI SEMBILAN,FREEHOLD,TERRACE HOUSE,380000.0,272.0,44
BANDAR UTAMA BATANG KALI,BATANG KALI,SELANGOR,FREEHOLD,CLUSTER HOUSE,232500.0,208.0,44
BANDAR UTAMA BATANG KALI,BATANG KALI,SELANGOR,FREEHOLD,TERRACE HOUSE,232500.0,208.0,44
TAMAN BUKIT TIRAM,ULU TIRAM,JOHOR,FREEHOLD,TERRACE HOUSE,380000.0,366.0,44
PULAI JAYA,KULAI,JOHOR,FREEHOLD,TERRACE HOUSE,520000.0,346.0,43
BANDAR UNIVERSITI,SERI ISKANDAR,PERAK,LEASEHOLD,SEMI D,250000.0,175.0,43
BANDAR UNIVERSITI,SERI ISKANDAR,PERAK,LEASEHOLD,TERRACE HOUSE,250000.0,175.0,43
SERENE HEIGHTS,SEMENYIH,SELANGOR,FREEHOLD,TERRACE HOUSE,781800.0,445.0,43
TAS,KUANTAN,PAHANG,FREEHOLD,TERRACE HOUSE,185000.0,158.0,43
BANDAR TUN HUSSEIN ONN,CHERAS,SELANGOR,FREEHOLD,SEMI D,800000.0,390.0,43
BANDAR TUN HUSSEIN ONN,CHERAS,SELANGOR,FREEHOLD,TERRACE HOUSE,800000.0,390.0,43
TAMAN BUKIT KEMPAS,TAMPOI,JOHOR,FREEHOLD,TERRACE HOUSE,480000.0,291.0,43
TAMAN PUTRA PRIMA,PUCHONG,SELANGOR,FREEHOLD,TERRACE HOUSE,780000.0,454.0,43
DESA MAYANG SARI,NILAI,NEGERI SEMBILAN,FREEHOLD,TERRACE HOUSE,718000.0,511.0,42
TAMAN DAMAI JAYA,SKUDAI,JOHOR,FREEHOLD,TERRACE HOUSE,325000.0,387.0,42
USJ 11,SUBANG JAYA,SELANGOR,FREEHOLD,TERRACE HOUSE,900000.0,513.0,42
TAMAN WIDURI,SUNGAI JAWI,PENANG,FREEHOLD,TERRACE HOUSE,260000.0,224.0,42
BANDAR EKAR,RANTAU,NEGERI SEMBILAN,FREEHOLD,TERRACE HOUSE,235789.0,145.0,42
GREENFIELD REGENCY,TAMPOI,JOHOR,FREEHOLD,SERVICE RESIDENCE,391500.0,485.0,42
OVERSEAS UNION GARDEN,JALAN KLANG LAMA (OLD KLANG ROAD),KUALA LUMPUR,FREEHOLD,BUNGALOW,923000.0,519.0,41
OVERSEAS UNION GARDEN,JALAN KLANG LAMA (OLD KLANG ROAD),KUALA LUMPUR,FREEHOLD,TERRACE HOUSE,923000.0,519.0,41
TAMAN PARKLAND,KLUANG,JOHOR,FREEHOLD,TERRACE HOUSE,150000.0,107.0,41
TAMAN TEHEL INDAH,BEMBAN,MELAKA,FREEHOLD,TERRACE HOUSE,497000.0,337.0,41
TAMAN KLEMERU (P/L : 48396),IPOH,PERAK,LEASEHOLD,TERRACE HOUSE,403000.0,229.0,41
TAMAN BUKIT PERMATA,SELAYANG,SELANGOR,FREEHOLD,TERRACE HOUSE,310281.0,56.0,41
RPA SRI TANJUNG,SUNGAI PETANI,KEDAH,FREEHOLD,TERRACE HOUSE,27049.0,43.0,41
TAMAN BANDAR BARU SUNGAI LALANG,SUNGAI PETANI,KEDAH,FREEHOLD,TERRACE HOUSE,200000.0,151.0,41
UDA UTAMA,JOHOR BAHRU,JOHOR,FREEHOLD,TERRACE HOUSE,809662.0,487.0,41
NILAI IMPIAN,NILAI,NEGERI SEMBILAN,FREEHOLD,TERRACE HOUSE,639888.0,383.0,41
"TAMAN KELANA, RANTAU PANJANG",KAPAR,SELANGOR,FREEHOLD,TERRACE HOUSE,473000.0,354.0,40
TIARA SENDAYAN - PRESINT 14C,LABU,NEGERI SEMBILAN,FREEHOLD,TERRACE HOUSE,512650.0,350.0,40
TAMAN DESA IMPIAN,SIMPANG AMPAT,PENANG,FREEHOLD,CLUSTER HOUSE,880000.0,314.0,40
BANDAR BESTARI@CANARY GARDEN,KLANG,SELANGOR,FREEHOLD,CLUSTER HOUSE,1449665.0,620.0,40
TAMAN SRI PENAWAR,PENGERANG,JOHOR,LEASEHOLD,TERRACE HOUSE,525000.0,375.0,40
TAMAN RASA UTAMA,BATANG KALI,SELANGOR,LEASEHOLD,TERRACE HOUSE,250000.0,187.0,40
TAMAN DESA TANJUNG MINYAK (SERI BERTAM),TANJONG MINYAK,MELAKA,LEASEHOLD,TERRACE HOUSE,260000.0,181.0,39
TAMAN PUSING SAKURA,BATU GAJAH,PERAK,LEASEHOLD,TERRACE HOUSE,330880.0,236.0,39
M SENYUM SALAK TINGGI,SEPANG,SELANGOR,LEASEHOLD,TERRACE HOUSE,555210.0,463.0,39
BB SETIA AWAN PERDANA RESIDEN 8,SITIAWAN,PERAK,FREEHOLD,TERRACE HOUSE,245000.0,205.0,39
TAMAN KLUANG PERDANA,KLUANG,JOHOR,FREEHOLD,SEMI D,199900.0,110.0,39
TAMAN KLUANG PERDANA,KLUANG,JOHOR,FREEHOLD,TERRACE HOUSE,199900.0,110.0,39
TAMAN MENGKIBOL,KLUANG,JOHOR,FREEHOLD,TERRACE HOUSE,379000.0,237.0,39
RPR BANDAR BARU SAMARIANG,KUCHING,SARAWAK,LEASEHOLD,TERRACE HOUSE,200000.0,195.0,39
TAMAN PULAI UTAMA,SKUDAI,JOHOR,FREEHOLD,TERRACE HOUSE,595000.0,340.0,39
TAMAN SUTERA,PERLING,JOHOR,FREEHOLD,TERRACE HOUSE,780000.0,306.0,39
SEKSYEN 17,PETALING JAYA,SELANGOR,FREEHOLD,BUNGALOW,948000.0,464.0,39
SEKSYEN 17,PETALING JAYA,SELANGOR,FREEHOLD,SEMI D,948000.0,464.0,39
SEKSYEN 17,PETALING JAYA,SELANGOR,FREEHOLD,TERRACE HOUSE,948000.0,464.0,39
TAMAN PANDAN JAYA,CHERAS,SELANGOR,LEASEHOLD,FLAT,185000.0,313.0,39
VENICE HILL,CHERAS,SELANGOR,FREEHOLD,CONDOMINIUM,250000.0,162.0,32
GREEN HAVEN,MASAI,JOHOR,FREEHOLD,SERVICE RESIDENCE,631950.0,530.0,39
SRI PENARA,CHERAS,KUALA LUMPUR,LEASEHOLD,APARTMENT,280000.0,433.0,37
TAMAN BUKIT KATIL DAMAI,BUKIT KATIL,MELAKA,LEASEHOLD,SEMI D,488000.0,338.0,38
TAMAN BUKIT KATIL DAMAI,BUKIT KATIL,MELAKA,LEASEHOLD,TERRACE HOUSE,488000.0,338.0,38
BERCHAM NOBEL RESIDENCES,IPOH,PERAK,FREEHOLD,TERRACE HOUSE,335000.0,238.0,38
TAMAN MERPATI INDAH,KULIM,KEDAH,FREEHOLD,TERRACE HOUSE,462000.0,330.0,38
MUTIARA HILLS @ SEMENYIH,SEMENYIH,SELANGOR,FREEHOLD,TERRACE HOUSE,547770.0,391.0,38
BANDAR SERI ALAM,PASIR GUDANG,JOHOR,FREEHOLD,TERRACE HOUSE,340000.0,361.0,38
TAMAN PINGGIR PENGKALAN PERMAI,IPOH,PERAK,FREEHOLD,CLUSTER HOUSE,688000.0,262.0,38
BANDAR PUTRA BERTAM,KEPALA BATAS,PENANG,FREEHOLD,CLUSTER HOUSE,350000.0,275.0,38
BANDAR PUTRA BERTAM,KEPALA BATAS,PENANG,FREEHOLD,TERRACE HOUSE,350000.0,275.0,38
TAMAN PULAI HIJAUAN,SKUDAI,JOHOR,FREEHOLD,CLUSTER HOUSE,655000.0,329.0,38
TAMAN PULAI HIJAUAN,SKUDAI,JOHOR,FREEHOLD,TERRACE HOUSE,655000.0,329.0,38
TAMAN PANDAN INDAH,AMPANG,SELANGOR,LEASEHOLD,TERRACE HOUSE,522500.0,511.0,38
TAMAN PANDAN INDAH,AMPANG,SELANGOR,LEASEHOLD,TOWN HOUSE,522500.0,511.0,38
SAUJANA IMPIAN,KAJANG,SELANGOR,FREEHOLD,BUNGALOW,540000.0,330.0,38
SAUJANA IMPIAN,KAJANG,SELANGOR,FREEHOLD,TERRACE HOUSE,540000.0,330.0,38
TAMAN GAYA,ULU TIRAM,JOHOR,FREEHOLD,CLUSTER HOUSE,1034400.0,409.0,38
P/L 104445 & P/L 104476(LOT 2507),KUANTAN,PAHANG,FREEHOLD,TERRACE HOUSE,271790.0,174.0,38
SCIENTEX KUNDANG JAYA,RAWANG,SELANGOR,FREEHOLD,TERRACE HOUSE,504339.0,403.0,37
SPRINGVILLE @VICTORIA COUNTRY,SITIAWAN,PERAK,FREEHOLD,TERRACE HOUSE,435000.0,288.0,37
TAMAN MOLEK RESIDEN,AYER MOLEK,MELAKA,FREEHOLD,TERRACE HOUSE,435800.0,312.0,37
TAMAN EMAS BIDOR,BIDOR,PERAK,LEASEHOLD,TERRACE HOUSE,90000.0,75.0,37
SETIA ECOHILL,BERANANG,SELANGOR,FREEHOLD,CLUSTER HOUSE,680000.0,419.0,37
SETIA ECOHILL,BERANANG,SELANGOR,FREEHOLD,TERRACE HOUSE,680000.0,419.0,37
TAMAN SRI TEBRAU,JOHOR BAHRU,JOHOR,FREEHOLD,TERRACE HOUSE,680000.0,336.0,37
BANDAR BUKIT TINGGI,KLANG,SELANGOR,FREEHOLD,TERRACE HOUSE,750000.0,468.0,37
TAMAN KELADI FASA 1,SUNGAI PETANI,KEDAH,FREEHOLD,TERRACE HOUSE,200000.0,152.0,37
BAYAN BARU,BAYAN BARU,PENANG,LEASEHOLD,CLUSTER HOUSE,570000.0,376.0,37
BAYAN BARU,BAYAN BARU,PENANG,LEASEHOLD,SEMI D,570000.0,376.0,37
BAYAN BARU,BAYAN BARU,PENANG,LEASEHOLD,TERRACE HOUSE,570000.0,376.0,37
TAMAN MUHIBAH,KULAI,JOHOR,FREEHOLD,TERRACE HOUSE,290000.0,342.0,37
BANDAR BUKIT PUCHONG,PUCHONG,SELANGOR,FREEHOLD,TERRACE HOUSE,640000.0,418.0,37
BANDAR AMANJAYA (ZON KENANGA),SUNGAI PETANI,KEDAH,FREEHOLD,SEMI D,320000.0,136.0,37
RIFLE RANGE,AYER ITAM,PENANG,LEASEHOLD,FLAT,72000.0,188.0,37
TEBRAU CITY RESIDENCES,TEBRAU,JOHOR,FREEHOLD,SERVICE RESIDENCE,380000.0,365.0,37
PANGSAPURI LAGOON PERDANA,BANDAR SUNWAY,SELANGOR,LEASEHOLD,APARTMENT,210000.0,235.0,37
FARLIM 4,AYER ITAM,PENANG,FREEHOLD,FLAT,130000.0,254.0,37
MAHSURI FLAT,BAYAN BARU,PENANG,LEASEHOLD,FLAT,156000.0,308.0,37
DENAI ALAM,SHAH ALAM,SELANGOR,FREEHOLD,TERRACE HOUSE,900000.0,446.0,36
ECO ARDENCE,SETIA ALAM,SELANGOR,FREEHOLD,BUNGALOW,1880000.0,708.0,36
ECO ARDENCE,SETIA ALAM,SELANGOR,FREEHOLD,SEMI D,1838000.0,708.0,36
SELANGOR CYBER VALLEY-RESIDENCY AURORA,DENGKIL,SELANGOR,LEASEHOLD,TERRACE HOUSE,1042000.0,573.0,36
"TAMAN IDAMAN, SUNGAI SEGAMAT",SEGAMAT,JOHOR,LEASEHOLD,TERRACE HOUSE,117500.0,81.0,36
BAYU SUTERA - PRECINCT 4A,JIMAH,NEGERI SEMBILAN,FREEHOLD,TERRACE HOUSE,700888.0,483.0,36
BANDAR BARU BIDOR,BIDOR,PERAK,LEASEHOLD,TERRACE HOUSE,268000.0,187.0,36
IRAMA SENDAYAN 2D,LABU,NEGERI SEMBILAN,FREEHOLD,TERRACE HOUSE,628888.0,444.0,36
TAMAN DESA ILMU,KOTA SAMARAHAN,SARAWAK,LEASEHOLD,SEMI D,380000.0,175.0,36
TAMAN DESA ILMU,KOTA SAMARAHAN,SARAWAK,LEASEHOLD,TERRACE HOUSE,380000.0,175.0,36
USJ 2,SUBANG JAYA,SELANGOR,FREEHOLD,TERRACE HOUSE,745000.0,450.0,36
TAMAN SENGGARANG,SENGGARANG,JOHOR,FREEHOLD,TERRACE HOUSE,150000.0,107.0,36
ELMINA EAST,SHAH ALAM,SELANGOR,FREEHOLD,SEMI D,921500.0,547.0,36
ELMINA EAST,SHAH ALAM,SELANGOR,FREEHOLD,TERRACE HOUSE,921500.0,547.0,36
TAMAN SUTERA UTAMA,SKUDAI,JOHOR,FREEHOLD,CLUSTER HOUSE,1065000.0,474.0,36
TAMAN SUTERA UTAMA,SKUDAI,JOHOR,FREEHOLD,TERRACE HOUSE,1065000.0,474.0,36
BANDAR PUTERI JAYA SEKSYEN 2,SUNGAI PETANI,KEDAH,FREEHOLD,TERRACE HOUSE,275000.0,180.0,36
LAMAN HARIS @ ECO GRANDEUR,IJOK,SELANGOR,LEASEHOLD,TERRACE HOUSE,455000.0,325.0,36
MATANG JAYA,KUCHING,SARAWAK,LEASEHOLD,BUNGALOW,350000.0,151.0,36
MATANG JAYA,KUCHING,SARAWAK,LEASEHOLD,SEMI D,350000.0,151.0,36
MATANG JAYA,KUCHING,SARAWAK,LEASEHOLD,TERRACE HOUSE,350000.0,151.0,36
BANDAR BOTANI PARKLAND,JASIN,MELAKA,FREEHOLD,TERRACE HOUSE,120700.0,100.0,35
TAMAN PERWIRA JAYA,TAPAH,PERAK,LEASEHOLD,TERRACE HOUSE,169000.0,121.0,35
TANJUNG TEMASEK FASA 1,IPOH,PERAK,LEASEHOLD,TERRACE HOUSE,298800.0,226.0,35
TAMAN SELASIH INDAH,KULIM,KEDAH,FREEHOLD,TERRACE HOUSE,542200.0,387.0,35
OSKAR RESIDENCE @SEREMBAN FOREST HEIGHTS,AMPANGAN,NEGERI SEMBILAN,FREEHOLD,TERRACE HOUSE,669000.0,454.0,35
TAMAN PANTAI SEPANG PUTRA,SEPANG,SELANGOR,FREEHOLD,BUNGALOW,400000.0,109.0,35
SETIA ECO GARDEN,GELANG PATAH,JOHOR,FREEHOLD,TERRACE HOUSE,527680.0,403.0,35
TAMAN SRI PULAI,KULAI,JOHOR,FREEHOLD,TERRACE HOUSE,380000.0,273.0,35
TAMAN NUSA IDAMAN,ISKANDAR PUTERI (NUSAJAYA),JOHOR,FREEHOLD,SEMI D,780000.0,368.0,35
TAMAN LINTANG BISTARI,SUNGAI SIPUT,PERAK,LEASEHOLD,TERRACE HOUSE,267284.0,175.0,35
TAMAN KEMPAS UTAMA,SKUDAI,JOHOR,FREEHOLD,CLUSTER HOUSE,1000000.0,427.0,35
TAMAN KEMPAS UTAMA,SKUDAI,JOHOR,FREEHOLD,SEMI D,1000000.0,427.0,35
ECO GRANDEUR,IJOK,SELANGOR,LEASEHOLD,BUNGALOW,700000.0,438.0,35
ECO GRANDEUR,IJOK,SELANGOR,LEASEHOLD,TERRACE HOUSE,700000.0,438.0,35
TAMAN KELISA RIA FASA 1,SUNGAI PETANI,KEDAH,FREEHOLD,SEMI D,250000.0,153.0,35
TAMAN KELISA RIA FASA 1,SUNGAI PETANI,KEDAH,FREEHOLD,TERRACE HOUSE,250000.0,153.0,35
TAMAN RIA JAYA FASA 1,SUNGAI PETANI,KEDAH,FREEHOLD,TERRACE HOUSE,210000.0,155.0,35
